passages,query,question,query_type,reasoning,answer_passage,answer
"['Mary went back to the office.', 'John went back to the bathroom.']","Answer the question based on the context:
Mary went back to the office.
John went back to the bathroom.
Question: Where is Mary? Only return the answer.
",Where is Mary?,single-supporting-fact,"The category of the question represents what is being asked in that question. The category of the question asked is: single-supporting-fact.
",['Mary went back to the office.'],office
"['Mary travelled to the kitchen.', 'Sandra moved to the office.']","Answer the question based on the context:
Mary travelled to the kitchen.
Sandra moved to the office.
Question: Where is Sandra? Only return the answer.
",Where is Sandra?,single-supporting-fact,"The category of the question represents what is being asked in that question. The category of the question asked is: single-supporting-fact.
",['Sandra moved to the office.'],office
"['Sandra went back to the office.', 'Mary travelled to the bathroom.', 'Daniel moved to the bedroom.', 'Daniel went back to the garden.', 'Mary travelled to the bedroom.', 'Sandra went to the garden.', 'John went back to the garden.', 'John went back to the hallway.', 'Sandra travelled to the hallway.', 'John journeyed to the bedroom.', 'Daniel went back to the hallway.', 'Daniel went back to the kitchen.', 'John travelled to the kitchen.', 'Sandra grabbed the milk there.']","Answer the question based on the context:
Sandra went back to the office.
Mary travelled to the bathroom.
Daniel moved to the bedroom.
Daniel went back to the garden.
Mary travelled to the bedroom.
Sandra went to the garden.
John went back to the garden.
John went back to the hallway.
Sandra travelled to the hallway.
John journeyed to the bedroom.
Daniel went back to the hallway.
Daniel went back to the kitchen.
John travelled to the kitchen.
Sandra grabbed the milk there.
Question: How many objects is Sandra carrying? Only return the answer.
",How many objects is Sandra carrying?,counting,"The category of the question represents what is being asked in that question. The category of the question asked is: counting.
",['Sandra grabbed the milk there.'],one
"['Mice are afraid of sheep.', 'Winona is a mouse.', 'Emily is a mouse.', 'Cats are afraid of wolves.', 'Wolves are afraid of mice.', 'Sheep are afraid of wolves.', 'Jessica is a sheep.', 'Gertrude is a wolf.']","Answer the question based on the context:
Mice are afraid of sheep.
Winona is a mouse.
Emily is a mouse.
Cats are afraid of wolves.
Wolves are afraid of mice.
Sheep are afraid of wolves.
Jessica is a sheep.
Gertrude is a wolf.
Question: What is jessica afraid of? Only return the answer.
",What is jessica afraid of?,basic-deduction,"The category of the question represents what is being asked in that question. The category of the question asked is: basic-deduction.
","['Sheep are afraid of wolves.', 'Jessica is a sheep.']",wolf
"['The bedroom is north of the bathroom.', 'The garden is south of the bathroom.']","Answer the question based on the context:
The bedroom is north of the bathroom.
The garden is south of the bathroom.
Question: What is the bathroom south of? Only return the answer.
",What is the bathroom south of?,two-arg-relations,"The category of the question represents what is being asked in that question. The category of the question asked is: two-arg-relations.
",['The bedroom is north of the bathroom.'],bedroom
"['The red square is below the red sphere.', 'The red square is to the left of the pink rectangle.']","Answer the question based on the context:
The red square is below the red sphere.
The red square is to the left of the pink rectangle.
Question: Is the red sphere to the right of the pink rectangle? Only return the answer.
",Is the red sphere to the right of the pink rectangle?,positional-reasoning,"The category of the question represents what is being asked in that question. The category of the question asked is: positional-reasoning.
","['The red square is below the red sphere.', 'The red square is to the left of the pink rectangle.']",no
"['The bedroom is south of the kitchen.', 'The hallway is north of the kitchen.']","Answer the question based on the context:
The bedroom is south of the kitchen.
The hallway is north of the kitchen.
Question: What is south of the kitchen? Only return the answer.
",What is south of the kitchen?,two-arg-relations,"The category of the question represents what is being asked in that question. The category of the question asked is: two-arg-relations.
",['The bedroom is south of the kitchen.'],bedroom
"['Brian is a lion.', 'Greg is a swan.', 'Bernhard is a rhino.', 'Lily is a lion.', 'Greg is green.', 'Julius is a swan.', 'Lily is white.', 'Julius is white.', 'Bernhard is gray.']","Answer the question based on the context:
Brian is a lion.
Greg is a swan.
Bernhard is a rhino.
Lily is a lion.
Greg is green.
Julius is a swan.
Lily is white.
Julius is white.
Bernhard is gray.
Question: What color is Brian? Only return the answer.
",What color is Brian?,basic-induction,"The category of the question represents what is being asked in that question. The category of the question asked is: basic-induction.
","['Brian is a lion.', 'Lily is a lion.', 'Lily is white.']",white
"['Bernhard is a lion.', 'Greg is a swan.', 'Bernhard is white.', 'Lily is a frog.', 'Brian is a lion.', 'Greg is yellow.', 'Lily is white.', 'Brian is green.', 'Julius is a frog.']","Answer the question based on the context:
Bernhard is a lion.
Greg is a swan.
Bernhard is white.
Lily is a frog.
Brian is a lion.
Greg is yellow.
Lily is white.
Brian is green.
Julius is a frog.
Question: What color is Julius? Only return the answer.
",What color is Julius?,basic-induction,"The category of the question represents what is being asked in that question. The category of the question asked is: basic-induction.
","['Lily is a frog.', 'Lily is white.', 'Julius is a frog.']",white
"['The hallway is east of the office.', 'The kitchen is east of the hallway.']","Answer the question based on the context:
The hallway is east of the office.
The kitchen is east of the hallway.
Question: What is east of the office? Only return the answer.
",What is east of the office?,two-arg-relations,"The category of the question represents what is being asked in that question. The category of the question asked is: two-arg-relations.
",['The hallway is east of the office.'],hallway
"['The bathroom is south of the bedroom.', 'The bathroom is north of the kitchen.']","Answer the question based on the context:
The bathroom is south of the bedroom.
The bathroom is north of the kitchen.
Question: What is the kitchen south of? Only return the answer.
",What is the kitchen south of?,two-arg-relations,"The category of the question represents what is being asked in that question. The category of the question asked is: two-arg-relations.
",['The bathroom is north of the kitchen.'],bathroom
"['The kitchen is west of the office.', 'The bedroom is east of the office.']","Answer the question based on the context:
The kitchen is west of the office.
The bedroom is east of the office.
Question: What is the office west of? Only return the answer.
",What is the office west of?,two-arg-relations,"The category of the question represents what is being asked in that question. The category of the question asked is: two-arg-relations.
",['The bedroom is east of the office.'],bedroom
"['Bill journeyed to the office yesterday.', 'Yesterday Mary journeyed to the cinema.', 'This morning Julie travelled to the kitchen.', 'Julie journeyed to the bedroom yesterday.']","Answer the question based on the context:
Bill journeyed to the office yesterday.
Yesterday Mary journeyed to the cinema.
This morning Julie travelled to the kitchen.
Julie journeyed to the bedroom yesterday.
Question: Where was Julie before the kitchen? Only return the answer.
",Where was Julie before the kitchen?,time-reasoning,"The category of the question represents what is being asked in that question. The category of the question asked is: time-reasoning.
","['This morning Julie travelled to the kitchen.', 'Julie journeyed to the bedroom yesterday.']",bedroom
"['The suitcase is bigger than the box of chocolates.', 'The box is bigger than the suitcase.', 'The chocolate fits inside the box.', 'The chocolate fits inside the suitcase.', 'The box of chocolates fits inside the chest.']","Answer the question based on the context:
The suitcase is bigger than the box of chocolates.
The box is bigger than the suitcase.
The chocolate fits inside the box.
The chocolate fits inside the suitcase.
The box of chocolates fits inside the chest.
Question: Does the box of chocolates fit in the box? Only return the answer.
",Does the box of chocolates fit in the box?,size-reasoning,"The category of the question represents what is being asked in that question. The category of the question asked is: size-reasoning.
","['The suitcase is bigger than the box of chocolates.', 'The box is bigger than the suitcase.']",yes
"['Greg is a frog.', 'Brian is a rhino.', 'Bernhard is a rhino.', 'Julius is a lion.', 'Julius is yellow.', 'Greg is white.', 'Bernhard is gray.', 'Lily is a frog.', 'Brian is gray.']","Answer the question based on the context:
Greg is a frog.
Brian is a rhino.
Bernhard is a rhino.
Julius is a lion.
Julius is yellow.
Greg is white.
Bernhard is gray.
Lily is a frog.
Brian is gray.
Question: What color is Lily? Only return the answer.
",What color is Lily?,basic-induction,"The category of the question represents what is being asked in that question. The category of the question asked is: basic-induction.
","['Greg is a frog.', 'Greg is white.', 'Lily is a frog.']",white
"['Mary went back to the office.', 'Mary went to the bathroom.']","Answer the question based on the context:
Mary went back to the office.
Mary went to the bathroom.
Question: Where is Mary? Only return the answer.
",Where is Mary?,single-supporting-fact,"The category of the question represents what is being asked in that question. The category of the question asked is: single-supporting-fact.
",['Mary went to the bathroom.'],bathroom
"['Bernhard is a frog.', 'Greg is a lion.', 'Lily is a swan.', 'Julius is a frog.', 'Greg is green.', 'Lily is gray.', 'Brian is a swan.', 'Brian is gray.', 'Julius is green.']","Answer the question based on the context:
Bernhard is a frog.
Greg is a lion.
Lily is a swan.
Julius is a frog.
Greg is green.
Lily is gray.
Brian is a swan.
Brian is gray.
Julius is green.
Question: What color is Bernhard? Only return the answer.
",What color is Bernhard?,basic-induction,"The category of the question represents what is being asked in that question. The category of the question asked is: basic-induction.
","['Bernhard is a frog.', 'Julius is a frog.', 'Julius is green.']",green
"['Greg is a lion.', 'Julius is a swan.', 'Greg is green.', 'Bernhard is a lion.', 'Julius is white.', 'Bernhard is yellow.', 'Lily is a rhino.', 'Lily is white.', 'Brian is a rhino.']","Answer the question based on the context:
Greg is a lion.
Julius is a swan.
Greg is green.
Bernhard is a lion.
Julius is white.
Bernhard is yellow.
Lily is a rhino.
Lily is white.
Brian is a rhino.
Question: What color is Brian? Only return the answer.
",What color is Brian?,basic-induction,"The category of the question represents what is being asked in that question. The category of the question asked is: basic-induction.
","['Lily is a rhino.', 'Lily is white.', 'Brian is a rhino.']",white
"['John and Mary travelled to the bedroom.', 'Mary and Sandra travelled to the hallway.']","Answer the question based on the context:
John and Mary travelled to the bedroom.
Mary and Sandra travelled to the hallway.
Question: Where is Sandra? Only return the answer.
",Where is Sandra?,conjunction,"The category of the question represents what is being asked in that question. The category of the question asked is: conjunction.
",['Mary and Sandra travelled to the hallway.'],hallway
"['Lily is a rhino.', 'Brian is a swan.', 'Lily is yellow.', 'Julius is a lion.', 'Brian is yellow.', 'Julius is green.', 'Bernhard is a swan.', 'Greg is a lion.', 'Greg is green.']","Answer the question based on the context:
Lily is a rhino.
Brian is a swan.
Lily is yellow.
Julius is a lion.
Brian is yellow.
Julius is green.
Bernhard is a swan.
Greg is a lion.
Greg is green.
Question: What color is Bernhard? Only return the answer.
",What color is Bernhard?,basic-induction,"The category of the question represents what is being asked in that question. The category of the question asked is: basic-induction.
","['Brian is a swan.', 'Brian is yellow.', 'Bernhard is a swan.']",yellow
"['Mary moved to the bedroom yesterday.', 'Fred travelled to the kitchen this morning.', 'Julie travelled to the school yesterday.', 'Fred moved to the office yesterday.']","Answer the question based on the context:
Mary moved to the bedroom yesterday.
Fred travelled to the kitchen this morning.
Julie travelled to the school yesterday.
Fred moved to the office yesterday.
Question: Where was Fred before the kitchen? Only return the answer.
",Where was Fred before the kitchen?,time-reasoning,"The category of the question represents what is being asked in that question. The category of the question asked is: time-reasoning.
","['Fred travelled to the kitchen this morning.', 'Fred moved to the office yesterday.']",office
"['Bernhard is a lion.', 'Bernhard is gray.', 'Lily is a frog.', 'Lily is white.', 'Julius is a swan.', 'Greg is a frog.', 'Brian is a swan.', 'Julius is yellow.', 'Brian is yellow.']","Answer the question based on the context:
Bernhard is a lion.
Bernhard is gray.
Lily is a frog.
Lily is white.
Julius is a swan.
Greg is a frog.
Brian is a swan.
Julius is yellow.
Brian is yellow.
Question: What color is Greg? Only return the answer.
",What color is Greg?,basic-induction,"The category of the question represents what is being asked in that question. The category of the question asked is: basic-induction.
","['Lily is a frog.', 'Lily is white.', 'Greg is a frog.']",white
"['The bathroom is east of the office.', 'The bathroom is west of the hallway.']","Answer the question based on the context:
The bathroom is east of the office.
The bathroom is west of the hallway.
Question: What is east of the office? Only return the answer.
",What is east of the office?,two-arg-relations,"The category of the question represents what is being asked in that question. The category of the question asked is: two-arg-relations.
",['The bathroom is east of the office.'],bathroom
"['The bedroom is south of the office.', 'The bedroom is north of the garden.']","Answer the question based on the context:
The bedroom is south of the office.
The bedroom is north of the garden.
Question: What is the office north of? Only return the answer.
",What is the office north of?,two-arg-relations,"The category of the question represents what is being asked in that question. The category of the question asked is: two-arg-relations.
",['The bedroom is south of the office.'],bedroom
"['This morning Fred journeyed to the park.', 'Mary moved to the school yesterday.', 'Yesterday Bill travelled to the kitchen.', 'Fred travelled to the office yesterday.']","Answer the question based on the context:
This morning Fred journeyed to the park.
Mary moved to the school yesterday.
Yesterday Bill travelled to the kitchen.
Fred travelled to the office yesterday.
Question: Where was Fred before the park? Only return the answer.
",Where was Fred before the park?,time-reasoning,"The category of the question represents what is being asked in that question. The category of the question asked is: time-reasoning.
","['This morning Fred journeyed to the park.', 'Fred travelled to the office yesterday.']",office
"['Mary and John journeyed to the office.', 'John and Sandra went to the hallway.']","Answer the question based on the context:
Mary and John journeyed to the office.
John and Sandra went to the hallway.
Question: Where is Mary? Only return the answer.
",Where is Mary?,conjunction,"The category of the question represents what is being asked in that question. The category of the question asked is: conjunction.
",['Mary and John journeyed to the office.'],office
"['Bernhard is a frog.', 'Brian is a frog.', 'Greg is a swan.', 'Brian is green.', 'Greg is yellow.', 'Julius is a swan.', 'Bernhard is green.', 'Lily is a frog.', 'Lily is white.']","Answer the question based on the context:
Bernhard is a frog.
Brian is a frog.
Greg is a swan.
Brian is green.
Greg is yellow.
Julius is a swan.
Bernhard is green.
Lily is a frog.
Lily is white.
Question: What color is Julius? Only return the answer.
",What color is Julius?,basic-induction,"The category of the question represents what is being asked in that question. The category of the question asked is: basic-induction.
","['Greg is a swan.', 'Greg is yellow.', 'Julius is a swan.']",yellow
"['The red sphere is to the right of the red square.', 'The red square is above the blue square.']","Answer the question based on the context:
The red sphere is to the right of the red square.
The red square is above the blue square.
Question: Is the red sphere to the left of the blue square? Only return the answer.
",Is the red sphere to the left of the blue square?,positional-reasoning,"The category of the question represents what is being asked in that question. The category of the question asked is: positional-reasoning.
","['The red sphere is to the right of the red square.', 'The red square is above the blue square.']",no
"['Lily is a lion.', 'Lily is white.', 'Greg is a frog.', 'Julius is a swan.', 'Julius is yellow.', 'Greg is green.', 'Brian is a lion.', 'Bernhard is a swan.', 'Brian is yellow.']","Answer the question based on the context:
Lily is a lion.
Lily is white.
Greg is a frog.
Julius is a swan.
Julius is yellow.
Greg is green.
Brian is a lion.
Bernhard is a swan.
Brian is yellow.
Question: What color is Bernhard? Only return the answer.
",What color is Bernhard?,basic-induction,"The category of the question represents what is being asked in that question. The category of the question asked is: basic-induction.
","['Julius is a swan.', 'Julius is yellow.', 'Bernhard is a swan.']",yellow
"['Daniel went to the office.', 'John journeyed to the garden.']","Answer the question based on the context:
Daniel went to the office.
John journeyed to the garden.
Question: Where is Daniel? Only return the answer.
",Where is Daniel?,single-supporting-fact,"The category of the question represents what is being asked in that question. The category of the question asked is: single-supporting-fact.
",['Daniel went to the office.'],office
"['Mary went back to the bathroom.', 'Sandra moved to the bedroom.', 'Sandra took the milk there.', 'Sandra went back to the kitchen.']","Answer the question based on the context:
Mary went back to the bathroom.
Sandra moved to the bedroom.
Sandra took the milk there.
Sandra went back to the kitchen.
Question: How many objects is Sandra carrying? Only return the answer.
",How many objects is Sandra carrying?,counting,"The category of the question represents what is being asked in that question. The category of the question asked is: counting.
",['Sandra took the milk there.'],one
"['Lily is a frog.', 'Julius is a rhino.', 'Lily is white.', 'Julius is white.', 'Bernhard is a lion.', 'Brian is a frog.', 'Brian is yellow.', 'Greg is a lion.', 'Greg is gray.']","Answer the question based on the context:
Lily is a frog.
Julius is a rhino.
Lily is white.
Julius is white.
Bernhard is a lion.
Brian is a frog.
Brian is yellow.
Greg is a lion.
Greg is gray.
Question: What color is Bernhard? Only return the answer.
",What color is Bernhard?,basic-induction,"The category of the question represents what is being asked in that question. The category of the question asked is: basic-induction.
","['Bernhard is a lion.', 'Greg is a lion.', 'Greg is gray.']",gray
"['The chest fits inside the container.', 'The suitcase is bigger than the chocolate.', 'The container is bigger than the box.', 'The box of chocolates fits inside the container.', 'The box fits inside the container.', 'The container is bigger than the chest.', 'The chocolate fits inside the container.', 'The suitcase fits inside the container.', 'The suitcase fits inside the container.', 'The container is bigger than the suitcase.']","Answer the question based on the context:
The chest fits inside the container.
The suitcase is bigger than the chocolate.
The container is bigger than the box.
The box of chocolates fits inside the container.
The box fits inside the container.
The container is bigger than the chest.
The chocolate fits inside the container.
The suitcase fits inside the container.
The suitcase fits inside the container.
The container is bigger than the suitcase.
Question: Is the container bigger than the chocolate? Only return the answer.
",Is the container bigger than the chocolate?,size-reasoning,"The category of the question represents what is being asked in that question. The category of the question asked is: size-reasoning.
","['The suitcase is bigger than the chocolate.', 'The container is bigger than the suitcase.']",yes
"['Sandra got the milk there.', 'Sandra went back to the garden.']","Answer the question based on the context:
Sandra got the milk there.
Sandra went back to the garden.
Question: What is Sandra carrying? Only return the answer.
",What is Sandra carrying?,lists-sets,"The category of the question represents what is being asked in that question. The category of the question asked is: lists-sets.
",['Sandra got the milk there.'],milk
"['Julius is a lion.', 'Greg is a swan.', 'Lily is a frog.', 'Lily is yellow.', 'Julius is gray.', 'Brian is a swan.', 'Brian is yellow.', 'Greg is yellow.', 'Bernhard is a frog.']","Answer the question based on the context:
Julius is a lion.
Greg is a swan.
Lily is a frog.
Lily is yellow.
Julius is gray.
Brian is a swan.
Brian is yellow.
Greg is yellow.
Bernhard is a frog.
Question: What color is Bernhard? Only return the answer.
",What color is Bernhard?,basic-induction,"The category of the question represents what is being asked in that question. The category of the question asked is: basic-induction.
","['Lily is a frog.', 'Lily is yellow.', 'Bernhard is a frog.']",yellow
"['The garden is east of the kitchen.', 'The bedroom is west of the kitchen.']","Answer the question based on the context:
The garden is east of the kitchen.
The bedroom is west of the kitchen.
Question: What is the kitchen west of? Only return the answer.
",What is the kitchen west of?,two-arg-relations,"The category of the question represents what is being asked in that question. The category of the question asked is: two-arg-relations.
",['The garden is east of the kitchen.'],garden
"['Brian is a frog.', 'Lily is a frog.', 'Brian is green.', 'Lily is green.', 'Julius is a rhino.', 'Greg is a swan.', 'Julius is white.', 'Bernhard is a swan.', 'Bernhard is white.']","Answer the question based on the context:
Brian is a frog.
Lily is a frog.
Brian is green.
Lily is green.
Julius is a rhino.
Greg is a swan.
Julius is white.
Bernhard is a swan.
Bernhard is white.
Question: What color is Greg? Only return the answer.
",What color is Greg?,basic-induction,"The category of the question represents what is being asked in that question. The category of the question asked is: basic-induction.
","['Greg is a swan.', 'Bernhard is a swan.', 'Bernhard is white.']",white
"['Bernhard is a lion.', 'Julius is a lion.', 'Greg is a swan.', 'Bernhard is yellow.', 'Greg is white.', 'Brian is a lion.', 'Julius is green.', 'Lily is a swan.', 'Brian is green.']","Answer the question based on the context:
Bernhard is a lion.
Julius is a lion.
Greg is a swan.
Bernhard is yellow.
Greg is white.
Brian is a lion.
Julius is green.
Lily is a swan.
Brian is green.
Question: What color is Lily? Only return the answer.
",What color is Lily?,basic-induction,"The category of the question represents what is being asked in that question. The category of the question asked is: basic-induction.
","['Greg is a swan.', 'Greg is white.', 'Lily is a swan.']",white
"['The pink rectangle is to the right of the red square.', 'The triangle is above the red square.']","Answer the question based on the context:
The pink rectangle is to the right of the red square.
The triangle is above the red square.
Question: Is the pink rectangle above the triangle? Only return the answer.
",Is the pink rectangle above the triangle?,positional-reasoning,"The category of the question represents what is being asked in that question. The category of the question asked is: positional-reasoning.
","['The pink rectangle is to the right of the red square.', 'The triangle is above the red square.']",no
"['Brian is a lion.', 'Lily is a swan.', 'Julius is a frog.', 'Lily is white.', 'Brian is white.', 'Julius is yellow.', 'Bernhard is a swan.', 'Bernhard is yellow.', 'Greg is a lion.']","Answer the question based on the context:
Brian is a lion.
Lily is a swan.
Julius is a frog.
Lily is white.
Brian is white.
Julius is yellow.
Bernhard is a swan.
Bernhard is yellow.
Greg is a lion.
Question: What color is Greg? Only return the answer.
",What color is Greg?,basic-induction,"The category of the question represents what is being asked in that question. The category of the question asked is: basic-induction.
","['Brian is a lion.', 'Brian is white.', 'Greg is a lion.']",white
"['Greg is a lion.', 'Brian is a swan.', 'Greg is gray.', 'Bernhard is a rhino.', 'Bernhard is green.', 'Julius is a lion.', 'Brian is green.', 'Julius is gray.', 'Lily is a swan.']","Answer the question based on the context:
Greg is a lion.
Brian is a swan.
Greg is gray.
Bernhard is a rhino.
Bernhard is green.
Julius is a lion.
Brian is green.
Julius is gray.
Lily is a swan.
Question: What color is Lily? Only return the answer.
",What color is Lily?,basic-induction,"The category of the question represents what is being asked in that question. The category of the question asked is: basic-induction.
","['Brian is a swan.', 'Brian is green.', 'Lily is a swan.']",green
"['The chest is bigger than the box of chocolates.', 'The box is bigger than the box of chocolates.', 'The box of chocolates is bigger than the chocolate.', 'The container is bigger than the chest.', 'The suitcase is bigger than the box.']","Answer the question based on the context:
The chest is bigger than the box of chocolates.
The box is bigger than the box of chocolates.
The box of chocolates is bigger than the chocolate.
The container is bigger than the chest.
The suitcase is bigger than the box.
Question: Is the chocolate bigger than the chest? Only return the answer.
",Is the chocolate bigger than the chest?,size-reasoning,"The category of the question represents what is being asked in that question. The category of the question asked is: size-reasoning.
","['The chest is bigger than the box of chocolates.', 'The box of chocolates is bigger than the chocolate.']",no
"['Brian is a swan.', 'Bernhard is a frog.', 'Greg is a lion.', 'Brian is green.', 'Lily is a lion.', 'Bernhard is green.', 'Greg is green.', 'Lily is green.', 'Julius is a frog.']","Answer the question based on the context:
Brian is a swan.
Bernhard is a frog.
Greg is a lion.
Brian is green.
Lily is a lion.
Bernhard is green.
Greg is green.
Lily is green.
Julius is a frog.
Question: What color is Julius? Only return the answer.
",What color is Julius?,basic-induction,"The category of the question represents what is being asked in that question. The category of the question asked is: basic-induction.
","['Bernhard is a frog.', 'Bernhard is green.', 'Julius is a frog.']",green
"['Mary and Sandra moved to the bedroom.', 'John and Mary went back to the kitchen.']","Answer the question based on the context:
Mary and Sandra moved to the bedroom.
John and Mary went back to the kitchen.
Question: Where is Mary? Only return the answer.
",Where is Mary?,conjunction,"The category of the question represents what is being asked in that question. The category of the question asked is: conjunction.
",['John and Mary went back to the kitchen.'],kitchen
